path,dialect_region,sentence,ipa_reference,ipa_audio,ipa_swiss_whisper
684dd9cf-2844-407b-9a7f-12e7b559773f/ba78cc61895c9f4e02cd90cb2aecada0378962e246c09be21f42760eef82ff8c.mp3,Ostschweiz,Die Anschläge sind ein Angriff auf das Herz der Nation.,di anʃlɛɡə zɪnt aɪn anɡɾɪf aʊf das hɛɾts dɛɾ natsjon,daɪlʃlaɪgzɪndən aɪgɾɪf ufz hɛɾtsfʊɐ denatsion,di anʃlɛɡə zɪnt aɪn anɡɾɪf aʊf das hɛɾts dɛɾ natsjon
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/94fccc5b8771292e600685ede6dfd629b390981bb2f7747e74109b43a4f4864e.mp3,Ostschweiz,Das ist dem Prozess der Planung des Rechnungsablaufs zuzuschreiben.,das ɪst dem pɾotsɛs dɛɾ plɑnʊŋ dɛs rɛçnʊŋsablaʊfs tsutsuʃraɪbən,ɪt ɪnʃ vɛgən pɾɔtsɛs fɔɾ dɛplɑnɪk fʊm rɛç nɪçt sɑblɑrf,dizəs ɪst veɡən dɛs pɾotsɛsəs dɛɾ plɑnʊŋ dɛs rɛçnʊŋsablaʊfs
7f4b1ca8-c652-4056-96fb-f02e82182574/d380b98cb6da989b2bd57e109edec9e873a305f65de60769a741495c1741db32.mp3,Ostschweiz,Nur die Geländewagen tun sich schwer.,nuɾ di ɡəlɛndevɑɡən tun zɪç ʃveɾ,ɔr glɛndɛ vɛgən dyn tsɪç ʃvɛr,nuɾ di ɡəlɛndevɑɡən tønən zɪç ʃveɾ
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/b1c0478b64ffaf40e88160a0146e506219a625c825ae893f05318949b72d36a7.mp3,Ostschweiz,Wie hoch ist der Sachschaden?,vi hox ɪst dɛɾ zaxʃɑdən,vi hœɾ ɾiçtə zaxvʃɑdə,vi hox ɪst dɛɾ zaxʃɑdən
a677eda9-7709-4c9d-8656-e7b665140f3b/e69fa698af176bee674296306367c04093329fbd3ed3fc5d61b73d2c51eefc8e.mp3,Ostschweiz,"Wo wollen wir sparen, um das Fest zu organisieren?",vo vɔlən viɾ ʃpɑrən ʊm das fɛst tsu ɔɾɡanizirən,vobɛmoʃpaɾɾə tsʊm das faɪçɔɾkanisiɾə,vo vɔlən viɾ ʃpɑrən ʊm dizəs fɛst tsu ɔɾɡanizirən
72911186-8b0e-4c0b-af3d-4d8765072930/813ac26db91d6186e9a3974fc728ecebae1e6388a9b6e624ec290c73d4aabf99.mp3,Ostschweiz,Dagegen spricht nicht nur die lange Tradition der US-Autoindustrie.,daɡeɡən ʃpɾɪçt nɪçt nuɾ di laŋə tɾɑditsjon dɛɾ uɛsaʊtoɪndʊstɾi,dɛɾ gɛgɛɾ ʃpɪçmə nuɾ di laŋt dɑdɪtson foɾ dɛɾ uɾs alpɪtɾo ɪnduɾstɾi,daɡeɡən ʃpɾɪçt nɪçt nuɾ di laŋən tɾɑditsjon dɛɾ uɛsaʊtoɪndʊstɾi
a677eda9-7709-4c9d-8656-e7b665140f3b/d89acc62bd852f8cf7fb4c0f9e357978eb68501e0c2288ef726b6c91e2366d40.mp3,Ostschweiz,Der FC Sion muss sich erstmals in dieser Saison geschlagen geben.,dɛɾ ɛftse zɪon mʊs zɪç eɾstmɑls ɪn dizɜ zɛzɔ̃ ɡəʃlɑɡən ɡebən,ɛt ɛftzɪzɪɔ mo ɛs zɪç zɪɔʃt mɔlɪdɛrə sɛsəl ʃlɑkə gi,dɛɾ ɛftse zɪop mʊs zɪç das eɾstə mɑl ɪn dizɜ zɛzɔ̃ ɡəʃlɑɡən ɡebən
7f4b1ca8-c652-4056-96fb-f02e82182574/82ae77f87650d356f9ee2c09578d931daac243838ced27a532c10d6639c877ca.mp3,Ostschweiz,Auf dem gleichen System basiert auch die neuste AMG-Version.,aʊf dem ɡlaɪçən zʏstem baziɾt aʊx di nɔøstə ɑɛmɡevɛɾzjon,ʊmglirəs di ʃtem pasiɾt aʊt di nɔøʃtɪ aɪm gevɛɾsion,ʊnt ɪm ɡlaɪçən zʏstem baziɾt aʊx di nɔøəstə ɑɛmɡevɛɾzjon
684dd9cf-2844-407b-9a7f-12e7b559773f/ca2469bfc622b0deeeb384a8c4804a8ce4c533a64041969464ca1867f335233d.mp3,Ostschweiz,Deshalb soll der Grenzschutz dort verstärkt werden.,dɛshalp zɔl dɛɾ ɡɾɛntsʃʊts dɔɾt fɛɾʃtɛɾkt vɛɾdən,ɪs aɪpsəldə gɾɛnʃʊts døt fɛɾʃtɛɾkst vɛɾdə,dɛshalp zɔl dɛɾ ɡɾɛntsʃʊts dɔɾt fɛɾʃtɛɾkt vɛɾdən
0bda2f56-850b-4930-9370-89ba5bb5e80a/dbac01a97e9a09599fc47eeb068c6a0999aba7ecba9e0f1a164df3165cb77db7.mp3,Ostschweiz,Welche aufregenden Möglichkeiten eröffnen neue Technologien?,vɛlçə aʊfreɡəndən mœklɪçkaɪtən ɛɾœfnən nɔøə tɛçnoloɡiən,vɪl juvɾɛgənə mɪgəlgɾaɪtə rɛftə nɔø tɛxŋolɔgiɛ,vɛlçə aʊfreɡəndən mœklɪçkaɪtən ɛɾœfnən nɔøə tɛçnoloɡiən
72911186-8b0e-4c0b-af3d-4d8765072930/8243dce9bd94c3cfd478203d1ed6a00bdb460ae24e966f3aa6fa694d822fe80c.mp3,Ostschweiz,Wir haben nun eine Mischform meiner vorgeschlagenen Vorgehensweise.,viɾ hɑbən nun aɪnə mɪʃfɔɾm maɪnɜ foɾɡəʃlɑɡənən foɾɡeənsvaɪzə,hiɾhɛnd jɛst aɪmɪç fɔn fɔrminɛr fɔɾk ʃlɑknət fɔrgɛnspɪs,viɾ hɑbən jɛtst aɪnə mɪʃfɔɾm maɪnɜ foɾɡəʃlɑɡənən frɑɡən ɪns bɪs
937d2af6-fc16-47b1-a53b-4dee4accc211/755deb726101d45dc15286e641afdecd216d240f5ed2ad7da9746c4935b90a4e.mp3,Ostschweiz,Rafael überreicht einer Teilnehmerin während eines Dates eine der begehrten Rosen.,rɑfɑɛl ybɜraɪçt aɪnɜ taɪlnemərɪn vɛrənt aɪnəs dɑtəs aɪnə dɛɾ bəɡeɾtən rozən,dɛraʊfalybɛrajɪçt dandərə taɪlnemərin vɛrətə mɛn ɛdet aɪnɪvʊtə bəgeɭt dɛrə rozə,rɑfɑɛl ybɜraɪçt aɪnɜ taɪlnemərɪn vɛrənt aɪnəs dɑtəs aɪnə dɛɾ bəɡeɾtən rozən
7f4b1ca8-c652-4056-96fb-f02e82182574/47070d3fb0e0567359d62152b8d146682907588dbc53afb400d60e19072640c6.mp3,Ostschweiz,Das sind eindeutige Aufgaben der Abteilungs- und Ressortleitung.,das zɪnt aɪndɔøtɪɡə aʊfɡɑbən dɛɾ aptaɪlʊŋs ʊnt rɛsɔɾtlaɪtʊŋ,das zɪnt aɪdytɪgə gəʊfkɔpə fodɛ aptaɪlɪks ʊntrøsɔlaɪtɪk,das zɪnt aɪndɔøtɪɡə aʊfɡɑbən dɛɾ aptaɪlʊŋs ʊnt rɛsɔɾtlaɪtʊŋ
684dd9cf-2844-407b-9a7f-12e7b559773f/ca9dc8e3110bfd3d0d06039a853ebd62b05cfdd134542c4b2334a8604cdea29b.mp3,Ostschweiz,Für die Anschuldigungen gebe es aber keine Beweise.,fyɾ di anʃʊldɪɡʊŋən ɡebə ɛs ɑbɜ kaɪnə bəvaɪzə,tyt aʃolɪgə ʊn geks apa kɾaɪbə lis,fyɾ di anʃʊldɪɡʊŋən ɡipt ɛs ɑbɜ kaɪnən bəvaɪs
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/7ff5cde92869f9fab2c19e218ccb75112327532e41eb8ab1208f18967782b664.mp3,Ostschweiz,Alle Elemente sind gesteckt und geschraubt.,alə elemɛntə zɪnt ɡəʃtɛkt ʊnt ɡəʃraʊpt,ɑlirə mɛnt zɪnt gʃtɛkɪt ʊnt gʃrobət,alə elemɛntə zɪnt ɡəʃtɛkt ʊnt ɡəʃraʊpt
7f4b1ca8-c652-4056-96fb-f02e82182574/9042bfcc93b8ea14921377e970d5c9d35f9c916a33f25f3a5a1ee56aa52db837.mp3,Ostschweiz,Warum sollen wir als politische Instanz aber nicht auch unseren Beitrag leisten?,vɑrʊm zɔlən viɾ als politɪʃə ɪnstants ɑbɜ nɪçt aʊx ʊnzərən baɪtɾɑk laɪstən,bi zosølə meɾ als politɪʃɪn stants ɑbɾnɪt aʊʏzənbi tɾɑglaɪʃtɛ,vizo zɔlən viɾ als politɪʃə ɪnstants ɑbɜ nɪçt aʊx ʊnzərən baɪtɾɑk laɪstən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/fa2f36e1cac42d65da5fa9fb35ec32596ddbbe893b71d0504be7eb764c9032be.mp3,Ostschweiz,Alles wirkt offiziell und korrekt.,aləs vɪɾkt ɔfitsjɛl ʊnt kɔrɛkt,ɑl ɛs vɪɾkt ofitsil ɑn kɾɑrɛkkt,aləs vɪɾkt ɔfitsjɛl ʊnt kɔrɛkt
a677eda9-7709-4c9d-8656-e7b665140f3b/ef1c7bc015a76a2bc783287ec4a8a448ae1593eee0ab44ba8d7ae986aa3807de.mp3,Ostschweiz,Eine Offenbarung ist Mozarts a-Moll-Sonate und an Intimität kaum zu steigern.,aɪnə ɔfənbɑrʊŋ ɪst motsaɾts ɑmɔlzonɑtə ʊnt an ɪntimitɛt kaʊm tsu ʃtaɪɡɜn,aɪnofəbɑrɪk ɪʃə motsɑtsɪn aməl sɔnɑtən ɪn dimətə kaʊm ɛn,aɪnə ɔfənbɑrʊŋ ɪst motsaɾt zaɪnə ɑmɔlzonɑtə ʊnt dizə ɪst an ɪntimitɛt kaʊm tsu ʃtaɪɡɜn
0bda2f56-850b-4930-9370-89ba5bb5e80a/d06d5183548fb221fd1942bb658e4aae5d47702b450a0277453d6968b82950f0.mp3,Ostschweiz,Was macht Leni sonst so?,vas maxt leni zɔnst zo,vas maxt leniz uso,vas maxt leni zɔnst zo
7f4b1ca8-c652-4056-96fb-f02e82182574/3face238896bee4e2ccdc820ea5f5bc8a7e79a0dcc3bee69bfcaf47dc3034d18.mp3,Ostschweiz,Seine Grossmutter brach darauf in Tränen aus.,zaɪnə ɡɾɔsmʊtɜ bɾax dɑraʊf ɪn tɾɛnən aʊs,tsinə grosmɔtɛɾ ɪst daɪɾdɾɔf ɪn tɾɛnən aʊs bɾɔxən,zaɪnə ɡɾɔsmʊtɜ bɾax dɑraʊf ɪn tɾɛnən aʊs
72911186-8b0e-4c0b-af3d-4d8765072930/a91750af6e686d8b9e710250709e4ba0de6dae412e8b0df1c32bdf184150403e.mp3,Ostschweiz,Die Prüfung und Beratung erfolgt dann an der nächsten Sitzung der FGPK.,di pɾyfʊŋ ʊnt bərɑtʊŋ ɛɾfɔlkt dan an dɛɾ nɛçstən zɪtsʊŋ dɛɾ ɛfɡepekɑ,bɾøfykʊŋ bərɑtɪgɛrfɔlp dɛn nɪçɛ nɛrʃtə sit zik fɔl dɛr ɛfgepɛkɾɑ,di pɾyfʊŋ ʊnt bərɑtʊŋ ɛɾfɔlkt ɪn dɛɾ nɛçstən zɪtsʊŋ dɛɾ ɛfɡepekɑ
7f4b1ca8-c652-4056-96fb-f02e82182574/db1fa77eec832fb4061f070cb6169b7e9d2dd29497475a83e851cbfc936dd709.mp3,Ostschweiz,Die Realität ist jedoch eine andere.,di reɑlitɛt ɪst jedɔx aɪnə andərə,trealitet iʃeto xɛn andərɪ,di reɑlitɛt ɪst jedɔx aɪnə andərə
937d2af6-fc16-47b1-a53b-4dee4accc211/90ba0573667baf4c15f990db7d6e9f6eeeac00ae2f97f198fa7c5a6c057f2718.mp3,Ostschweiz,Und das sei doch etwas Gutes.,ʊnt das zaɪ dɔx ɛtvɑs ɡutəs,untɐ sikidɐx øp pɪs kuɛts,ʊnt dɑ zaɪ ɪç dɔx ɛtvɑs ɡutəs
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/53241619330f30525de1d88073ec3b7803d96a9b8b46fd3f5c5b5723bcec79c6.mp3,Ostschweiz,Meine folgenden Worte richten sich vor allem an ihn.,maɪnə fɔlɡəndən vɔɾtə rɪçtən zɪç fɔɾ aləm an in,vas jɛtsɛkə bətrɪft foɾɑləm in,vas ɪç jɛtst zɑɡə bətɾɪft fɔɾ aləm in
7f4b1ca8-c652-4056-96fb-f02e82182574/1e2ec7b6741a68e6e4b74684d266db784929cc7b155aa3d1109c8169f817ec26.mp3,Ostschweiz,Wie können solche Diskussionen im Einwohnerrat geführt werden?,vi kœnən zɔlçə dɪskʊsjonən ɪm aɪnvonɜrɑt ɡəfyɾt vɛɾdən,verə xøndzʊtəgə dis kʊsjonə ɪn ivo nɔrɑt kfyɑtvɛltə,vi kœnən zɔlçə dɪskʊsjonən ɪm aɪnvonɜrɑt ɡəfyɾt vɛɾdən
0bda2f56-850b-4930-9370-89ba5bb5e80a/da1489ecfaeed55bd693a2b26e741b0e31a3bc4fa7242c74c71e8a2ad37f0eae.mp3,Ostschweiz,Die Wasserkraft wird auch künftig ihren Platz haben.,di vasɜkɾaft vɪɾt aʊx kʏnftɪç irən plats hɑbən,dvasɪç ɑft vir daɪç ɾɪmtɪgɪɾn blatsɛɾ,di vasɜkɾaft vɪɾt aʊx kʏnftɪç irən plats hɑbən
831d404d-b189-42b6-8120-073c1f8af73c/5d2be57c78aceca9b51ff8ea8b471085a62bc7ba0560f9f6f3649e328c84cd16.mp3,Ostschweiz,Die Leute haben eine ziemlich beschränkte Vorstellung.,di lɔøtə hɑbən aɪnə tsimlɪç bəʃrɛŋktə foɾʃtɛlʊŋ,lyptɛɪn gətsɛɪnlɪç bɛʃrɛŋk di fɑstəlɪç,di lɔøtə hɑbən aɪnə tsimlɪç bəʃrɛŋktə foɾʃtɛlʊŋ
684dd9cf-2844-407b-9a7f-12e7b559773f/da3f922cc2433b6c28aaf09262397cb1121e97c6ffef013a9edc66a8bf7dd1c4.mp3,Ostschweiz,Auch hier besteht ein klares Ja.,aʊx hiɾ bəʃtet aɪn klɑrəs jɑ,aʊl dɑ bɛʃtɑd ɛs klɑsiɑm,aʊx hiɾ bəʃtet aɪn klɑrəs jɑɾ
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/aaf3df6cc8a85616ffd9d9cc8ccd920b12fcc1237db2be3d4a958c38b2cc0d35.mp3,Ostschweiz,Hochhäuser sind heute sehr attraktive Wohngebäude.,hoxhɔøzɜ zɪnt hɔøtə zeɾ atɾaktivə voŋebɔødə,hoxyzə zind hyd zeɾ adɛktɪvivogə bɔødə,hoxhɔøzɜ zɪnt hɔøtə zeɾ atɾaktivə voŋebɔødə
831d404d-b189-42b6-8120-073c1f8af73c/d6222247b5e15e7f2617c1deaeb679f8c744e0ea64348316bb2a484ea7a8f103.mp3,Ostschweiz,"Für diesen Verband, einen grossen Gewinn, mit positiven Folgen auch für dich.",fyɾ dizən fɛɾbant aɪnən ɡɾɔsən ɡəvɪn mɪt pozitivən fɔlɡən aʊx fyɾ dɪç,fœltɛɾ fɛɾpant ɪnzəs ɪn gɾɑsək vʏn mɪt pɔsɪtɪfə folgə aʊfə di,fyɾ den fɛɾbant ɪst ɛs aɪn ɡɾɔsɜ ɡəvɪn mɪt pozitivən fɔlɡən aʊx fyɾ zi
937d2af6-fc16-47b1-a53b-4dee4accc211/32bc998ab6f7809fe2e836f3e47191a1f2fe971b472c651730a2f97a81206cd4.mp3,Ostschweiz,Wir möchten aber den Umfang des Bedrfnisses kennen.,viɾ mœçtən ɑbɜ den ʊmfaŋ dɛs bədɾfnɪsəs kɛnən,mijɐl mʏɣtɛt dɑpɔt ɛn ʊmvaŋɛn fɔnpɪdyɾfɛnɪs kɪnɛn,viɾ mœçtən ɑbɜ den ʊmfaŋ dɛs bədʏɾfnɪsəs kɛnən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/fee2af8385e6ea7df73ac921b99f579cca812bf53ddd9c031663a8eb4d895032.mp3,Ostschweiz,Gewöhnen kann man sich an beide.,ɡəvønən kan man zɪç an baɪdə,vønɛr kɑməsirə ɑbɑɪdi,ɡəvønən kan man zɪç an baɪdə
a677eda9-7709-4c9d-8656-e7b665140f3b/c05abd96815ea8e4bb20544b2f5d14a96e4edde48a4a70cafa1a3f718b2b2114.mp3,Ostschweiz,Obschon Sie es nicht immer einfach hatten in Ihrem Leben.,ɔpʃon zi ɛs nɪçt ɪmɜ aɪnfax hatən ɪn irəm lebən,ovol ziz im lɛbənə dimə aɪfax kɑhənd,ɔpvol zi ɛs ɪm lebən nɪçt ɪmɜ aɪnfax hatən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/fb492d54f88300528d73e252e6812e89005be69bf7ef52913991697330b56d7b.mp3,Ostschweiz,Lindner spricht ebenfalls von einer Heimkehr.,lɪndnɜ ʃpɾɪçt ebənfals fɔn aɪnɜ haɪmkeɾ,legənə ɛɾ ɛbəfɑs vʊndərə haɪm kɾeɾ,likt aɪnə ridə ebənfals fɔn aɪnɜ haɪmkeɾ
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/a5715a3a01850c4ccc845913e27086aeea3b61683479f636c0139f2cdc286b32.mp3,Ostschweiz,Doch bei der beruflichen Vorsorge droht der Stillstand Gesetz zu werden.,dɔx baɪ dɛɾ bəruflɪçən foɾzɔɾɡə dɾot dɛɾ ʃtɪlstant ɡəzɛts tsu vɛɾdən,ɑbɑɾ bidɛpɾɔøflɪçə fɑsɑg tɾɔt dɛs dɛs stilʃtɑnt gsaɪtsviɾt,ɑbɜ baɪ dɛɾ bəruflɪçən foɾzɔɾɡə dɾot das dɛɾ ʃtɪlstant ɡəzɛtst vɪɾt
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/bcfe2bddafe6de990d70319cb0f9750409bdcf7080b5dc02411ce5a26024cc12.mp3,Ostschweiz,Womit er natürlich recht hat.,vomɪt ɛɾ nɑtyɾlɪç rɛçt hat,vɔmi tɪn ɛn ɑn tøɾɭɪç gərɛçt hɛt,vomɪt ɛɾ nɑtyɾlɪç rɛçt hat
684dd9cf-2844-407b-9a7f-12e7b559773f/e61779ae1c8f24ed49bf88554c1c45258e28792df591bc472cf3fad9c9df5892.mp3,Ostschweiz,Sie hat die Zusammenarbeit für dieses Projekt mit den Gemeinden gesucht.,zi hat di tsuzamənaɾbaɪt fyɾ dizəs pɾojɛkt mɪt den ɡəmaɪndən ɡəzuxt,ɪn hɛt zlɛmə ɑbɛlt fyɾ das bɾɛkçt mi dek maɪnɪnzgzuxt,zi zuxtə di tsuzamənaɾbaɪt fyɾ dizəs pɾojɛkt mɪt dɛɾ ɡəmaɪndə
248e0121-1803-4980-a746-17ffbd799791/78c93867349c26705d60c001c48b89297d6f1456692635a313d0314bfa898b67.mp3,Ostschweiz,Roger Federer startet sein 18.,roɡɜ fedərɜ ʃtaɾtət zaɪn axtsen,dɛɾɔtʃɪɐfedɛrɛ ʃtatɪt zɪs axtsəl di,roɡɜ fedərɜ ʃtaɾtət zaɪn axtsen jɑɾhʊndɜt
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/706348dfd1d92f0b2ff798845a91ad50643c5d17e78072d64bc1b5a027e6a95b.mp3,Ostschweiz,Wie lautet Ihr Ratschlag in solchen Fällen?,vi laʊtət iɾ ratʃlɑk ɪn zolçən fɛlən,vas vɛrirən rɔɾtʃlɑki søtɪkne fɛl,vas vɛrə iɾ ratʃlɑk ɪn zolçən fɛlən
937d2af6-fc16-47b1-a53b-4dee4accc211/67a6bd579c31ed7eb3f5a70cd2b898f6b9040571e012ee149b65ba71c7fef7c6.mp3,Ostschweiz,Diese Privatperson hat sie anscheinend sogar vermietet.,dizə pɾivɑtpɛɾzon hat zi anʃaɪnənt zoɡɑɾ fɛɾmitət,di pɾifɑtpɪɾson hɛtsɪ anʃinən tsʊgɑfə miɾtət,dizə pɾivɑtpɛɾzon hat zi anʃaɪnənt zoɡɑɾ fɛɾmitət
72911186-8b0e-4c0b-af3d-4d8765072930/6e3c0b7f855fe4f46935f8cef9b7fdfe9224ddd8c01f90cd33f05b50b9cc99cf.mp3,Ostschweiz,Der zweite Punkt betrifft den haushälterischen Umgang.,dɛɾ tsvaɪtə pʊŋkt bətɾɪft den haʊshɛltərɪʃən ʊmɡaŋ,detsvaɪt di pʊŋk bətɾɪftə hoz haltɾiʃə ʊŋgaŋ,dɛɾ tsvaɪtə pʊŋkt bətɾɪft den haʊshaltərɪʃən ʊmɡaŋ
