path,dialect_region,sentence,transcription
9bfe16f5-33bb-4266-b1ac-40b0611c74da/6f281a5f72ef5f4f1fe78ee461a05657a9222debcbf9ae23fdd42a73f9b2044a.mp3,Basel,Schlussendlich landeten wir Anfang Juli in Kanada., Schlussendlich sind wir Anfang Juli in Kanada gelandet.
0392680c-2fda-4d1e-8d45-407c5fc01dac/7956122ecbd21de3a18e865dfa9371b21aeaa56a7e57582195794b06a352023a.mp3,Basel,Was sie von mir haltet weiss ich nicht.," Was sie von mir halten, weiss ich nicht."
9bfe16f5-33bb-4266-b1ac-40b0611c74da/aa0e53123ace10e53e1106834cbb59018dd6217784f18aa88c505c2e6b19de58.mp3,Basel,So ist es nicht., So ist es nicht.
12fb73be-cf60-4794-befb-381682ccda9a/d23df3eba8d6d822135ebdb370890ab79eb2a29f6a9c1bb312348268635c33f5.mp3,Basel,Dabei steht die Ermittlung der Todesursache natürlich im Vordergrund., Dabei steht die Ermittlung der Todesursache natürlich im Vordergrund.
8050767b-0a0e-43db-8754-2a42e896f7dd/d5a3a7de0918808e1f097b44da90f7600ead6b2498d6a09ecb346e3d9164a0da.mp3,Basel,Ich wollte Vollgas geben und bin sehr zufrieden mit dem Rennen., Ich wollte Vollgas geben und bin sehr zufrieden mit dem Rennen.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/83039461f47d21d15a159c406facf2f4bf4a7d49d63f7f84b8851b209c604420.mp3,Basel,Alle reklamieren., Olli reklamiert.
072abc71-8626-48e0-a1ad-c0f95befeac4/c01ccc0fec39193b5765bc03c55967de92fbf6cd5c77036414d19ae2f8a17085.mp3,Basel,Ich mochte immer Merkels Common-Sense-Politik., Ich erinnere an die Common Sense Politik von Merkel.
12fb73be-cf60-4794-befb-381682ccda9a/db8b101bf75426c1950950870639d63f0f7ff8e6055db7d7320c83178d684369.mp3,Basel,"Sollten Einsprachen das Projekt verzögern, müsste mit der AKB verhandelt werden."," Sollte Einspruch das Projekt erzögern, müsse mit der AKB verhandelt werden."
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/483311d86a89f39186ec85dc2a5776e835179ac3c341bcf7c0c45e67a8c09032.mp3,Basel,Mich erinnert das immer an Pilze., Mich erinnert das immer an Pilze.
fd72db57-c291-43e6-840e-92e06f83ae56/cecfa7082701a65e056936aaf1460f166064d36928490235921064722cf84626.mp3,Basel,Sie hat das H schon an der richtigen Stelle., Siehe jetzt H schon an der richtigen Stelle.
8050767b-0a0e-43db-8754-2a42e896f7dd/cb8e8fd97e74a75ffb769257d83bb0f2794f6a5b7d495dfed7d47b59b4f5e90d.mp3,Basel,"Kühne ist an der Aktiengesellschaft der Hamburger mit 7,5 Prozent beteiligt."," Kühne ist an der Aktiegesellschaft von Hamburger mit 7,5% beteiligt."
0392680c-2fda-4d1e-8d45-407c5fc01dac/61068be523940c1e9bd987acfbc95cd60b6447762485525d8f036527d6003ee7.mp3,Basel,Das gigantische Unterfangen ist nicht ohne Kritiker., Das gigantische Unterfangen ist nicht ohne Kritik.
072abc71-8626-48e0-a1ad-c0f95befeac4/7e751e72b483b543123b0c4dceba26e1fb6ef3b52a44251a6fb9cf0e7a6ea296.mp3,Basel,Es handelt sich aber um einen künstlich angelegten Kanal., Es handelt sich aber um einen künstlich angelegten Kanal.
072abc71-8626-48e0-a1ad-c0f95befeac4/cc370141daf4a2a665c3663fbd3d12ed94edd842ad1fb5f3727e3e3af97afc7c.mp3,Basel,"Ich glaube es ist sehr wichtig, dass dieser Prozess effizient ist."," Ich glaube es ist sehr wichtig, dass der Prozess effizient ist."
072abc71-8626-48e0-a1ad-c0f95befeac4/9608b4cba5e4a11994ffff6e02d292881095661d899a568209552963a2d8a150.mp3,Basel,Doch von einer Messe in Moll kann keine Rede sein., Doch von der Masse in Moll rocker ich wenig.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/b16920a9a960c4b7c2beca93d019aeacae0b3b790a897b14ba33f3aa28feaf7b.mp3,Basel,Ein neuer Vierachser Euro6 kostet knapp 73 Rappen pro Kilometer., Ein neuer 8406 kostet knapp 73 Fr. pro Kilometer.
fd72db57-c291-43e6-840e-92e06f83ae56/e0b3126c633ae0542708b53ebd7a85a2118b6ec3b386ae462f945448c3cf88b1.mp3,Basel,Die SP-Fraktion stellt die Rechtsstaatlichkeit dieses Reglementes in Frage., Die SP-Fraktion stellt die Rechtsstaatlichkeit vor diesem Reglement in Frage.
56d9fcd3-bb79-48a8-93d7-a0a65a15ec3e/37bf6f2df0841c721be19e0add49f478e09bcf3d0801ac6cd962111457efb20b.mp3,Basel,Die Polizei ist prekär ins neue Jahr gestartet., Die Polizei ist prekär ins neue Jahr gestartet.
072abc71-8626-48e0-a1ad-c0f95befeac4/aec608d23181274d66353fa38ac276eb522e181e58f85658d3abde880dfb8e15.mp3,Basel,Gleichzeitig erhöht die EWW AG die Strompreise massiv., Gleichzeitig behält EWW AG die Strompreise massiv.
072abc71-8626-48e0-a1ad-c0f95befeac4/7afb9f1590a26d90235c13498b2127e5eeb16917a6250555a3ec6163466452e1.mp3,Basel,Auch die Firmen-Arbeitsplätze müssen überdacht werden., auch der Firma Arbeitsplatzlehre bedankt werden.
878160b0-c4b0-4602-905a-329fc8080cb9/380104ea09d7e4495c4800627c78a5d189fe0f3c5bb21d7d22e06254d29f1e85.mp3,Basel,Sie hielten mich von der Rückkehr nach Argentinien ab., Sie haben mich von der Rückkehr nach Argentinien abgehalten.
8050767b-0a0e-43db-8754-2a42e896f7dd/c7eaa1a3b2c2f0221936dd86359e43cf702517a9cc9d808f2a461ca01d3e4601.mp3,Basel,Die Feuerwehr habe den Brand schnell unter Kontrolle gebracht., Die Feuerwehr habe ich den Brand schnell unter Kontrolle gebracht.
8050767b-0a0e-43db-8754-2a42e896f7dd/d2b2b64c608880ed8d812f3fb17a0181971a5b82ba109667fe1b08d26a10d1d1.mp3,Basel,Unter den Passagieren gab es lediglich ein Todesopfer., Unter den Passagieren gab es nur ein totes Opfer.
0392680c-2fda-4d1e-8d45-407c5fc01dac/65388cb19f77c466165de1e012a8b41b1ae3eab01744bb14f1b31b954a5c0033.mp3,Basel,Viele Neuzuzüger lassen daher die Finger davon., Viele neue Zuzüge. Lasst die Finger davon weg!
8800b4de-fa22-4fdc-9f29-457c4010fd57/aaad9c2576cda1ef458c277e08094e58612c68347b0511620fc4d3387f039253.mp3,Basel,Die Bank ist der grosse Verlierer., Die Bank ist der grosse Verlierer.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/bcfe2bddafe6de990d70319cb0f9750409bdcf7080b5dc02411ce5a26024cc12.mp3,Basel,Womit er natürlich recht hat., womit Aal natürlich reicht.
0392680c-2fda-4d1e-8d45-407c5fc01dac/60f4abfff67a3ea778757ba312fa580da6a6b4b42080a3c223d287acf104e8dc.mp3,Basel,Internationale Untersuchungen liefern ähnliche Zahlen., Internationale Untersuchungen liefern ähnliche Zahlen.
878160b0-c4b0-4602-905a-329fc8080cb9/5f75ede1c60f455af90bbca06f4aef79567eb4f5e2ed08ad466b1aad5dc852cf.mp3,Basel,Beide Substanzen bilden mithilfe der Sonne Ozon., Beide Substanzbilder mit Helphotosomensation.
072abc71-8626-48e0-a1ad-c0f95befeac4/94372c3cfd758bd44abe6e1c3a6b80cde9213e9bb85a3d7f7ea2078c8cf26fb5.mp3,Basel,Sie soll zwischen dem dritten und sechsten Monat sein., Sie soll zwischen dem 3. und dem 6. Monat sein.
fb1d2127-e914-470f-b684-57c697eacc1c/768b1ece42c930e741442a16bc88ecf0f8ea7c2e9ad61881dcabfd13b944ef2a.mp3,Basel,Tatsächlich lässt sich das nur schwer sagen., Tatsächlich höre ich das nur schwer zu sagen.
072abc71-8626-48e0-a1ad-c0f95befeac4/bd43786b0edb5b45f5b2ab5bb665146c54e3cdd3234594387a84e964cdeec73f.mp3,Basel,Hier werden wir uns mit dem Stadtrat offenbar nicht einig., Da warten wir uns mit dem Startrad offenbar nicht einig.
fb1d2127-e914-470f-b684-57c697eacc1c/69d65adb2c2f9dc2539bcd2e893315bdb70ec1ce304ecae995a8d8643bcf8ae2.mp3,Basel,Die letzten vier Monate waren ungemein intensiv., Die letzten vier Monate waren ungemein intensiv.
fb1d2127-e914-470f-b684-57c697eacc1c/7dfe789a86d3037dc1cd5a57bbc59dbe69a5fa649fdfadc535a4b3a4fe0c8872.mp3,Basel,"Und das wollen wir in Aarau nicht, auch nicht in der Zwischensaison.", Und das wollen wir in ARAU nicht. Auch nicht in der Zwischensaison.
8050767b-0a0e-43db-8754-2a42e896f7dd/d32e37c7b79a7e6a504579f6ea7181b53a5b7155d2aecc0c0f8129fdb453604c.mp3,Basel,"Intelligänti, insektefründlichi Belüchtig und Belagssanierig bedütet e Minimalvariante."," Intelligente, insektenfreundliche Beleuchtung und Belagsanierung bedeutet eine Minimalvariante."
072abc71-8626-48e0-a1ad-c0f95befeac4/71d8f398a3e81a7aaeb2da532c7701d9351f4d44694aec6bdc5f0566e76ff49c.mp3,Basel,Wo liegen die Gründe für diesen Rückgang?, Polierkarte gründlich da rüber
8800b4de-fa22-4fdc-9f29-457c4010fd57/9c156eff9dd5c1676b5baf0f6d8cc087ff4aa299d0b9aa22a47ddf09d03d8267.mp3,Basel,Mehr als bei Mitsubishi tut sich auch unter der Haube., Mehr als bei Mitsubishi tut sich auch unter den Hauben.
072abc71-8626-48e0-a1ad-c0f95befeac4/c2e52d9696c34aed50f4e820ff250bb598fd79939ea5108c08f339cc2b051f67.mp3,Basel,Auch in bin kein Freund einer immer höheren Regelungsdichte., Auch ich bin kein Freund einer immer höheren Regelungsdichte.
56d9fcd3-bb79-48a8-93d7-a0a65a15ec3e/5028a88a8b5d0d40b744f7e60e9414d76818c240a6850fb72eff9b8e6f56e1af.mp3,Basel,Der hintere nimmt etwas aus dem Rucksack., Der hintere nimmt etwas aus dem Rucksack.
072abc71-8626-48e0-a1ad-c0f95befeac4/77ef0f6ab5a862db0eb53a8a84478218f04f0b35531d0ef221294fc48849555b.mp3,Basel,Weissrussland gehörte während 14 Jahren der höchsten Division an., Bis Russland hat während 14 Jahren die höchste Division angehört.
8050767b-0a0e-43db-8754-2a42e896f7dd/b03a567bc70a5410fec998caaa5da2df18c3c8a887e2c994b7aaddfa9d3fa713.mp3,Basel,Der Nettoaufwand sei deutlich reduziert worden., Der Nettoaufwand sei deutlich reduziert worden.
0392680c-2fda-4d1e-8d45-407c5fc01dac/4d466ea6c09a03f9dc5668f92ae8ddcc58f735206b52184e1727556d56927432.mp3,Basel,Der Monte Rosa zeigt sich von seiner schönsten Seite., Der Monte Rosa zeigt sich von der schönsten Seite.
8800b4de-fa22-4fdc-9f29-457c4010fd57/e50429b5ae4d5fb5c19dd685c25258c9661b894d14463e785b6b950e3b647b34.mp3,Basel,Schliesslich sollen die Franzosen ihren Politikern wieder vertrauen können., Schliesslich sollen die Franzosen ihren Politikern wieder vertrauen können.
12fb73be-cf60-4794-befb-381682ccda9a/e819c893a4d69942e2dea8a493a04aaf7bfc3aecbdbdcf16e56a50ec10e70728.mp3,Basel,Im kommenden Jahr wird in Belgien ein neues Parlament gewählt., Im kommenden Jahr wird in Belgien ein neues Parlament gewählt.
0392680c-2fda-4d1e-8d45-407c5fc01dac/53a54b7d5fbe7d67f4f2320095f5421ce4a470b87127856b40b689188f136f22.mp3,Basel,Der Umfang ist pro Jahr in der Grössenordnung von Fr. 30'000.00., Der Umfang ist pro Jahr in der Grösse von 30'000 Fr.
0392680c-2fda-4d1e-8d45-407c5fc01dac/535e35d8b230def5a7739cbe8194120bf8047bceac09d96847449d36109004f9.mp3,Basel,Bei Erwachsenen funktionierte die Methode nicht., Bei Erwachsenen funktioniert diese Methode nicht.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/97aa2a8490fc4a9cee83aeb1b8b32f0252be930f725fede7f6ed930c44ad6c62.mp3,Basel,Das weiss man auch bei Skoda., Das weiss man auch bei Skoda.
878160b0-c4b0-4602-905a-329fc8080cb9/46977442ba025cbbde8ff8856d4a66d428710b66e2c811e93cda79472ac61d3e.mp3,Basel,Die Trauben um das weisse Auto wuchsen zusehends., Die Trauben um das Weissenhäuti sind zu sehen gewachsen.
0392680c-2fda-4d1e-8d45-407c5fc01dac/5efe8b960baee971df8e5a8c1c7a741d6bdf369c1f3229f7be64f29c3fa7292e.mp3,Basel,Der Stadtrat blieb die Begründung schuldig., Der Stadtrat bleibt der erbringende geschuldig.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/550868d8b5ab022f066d9cdbdd61aed7379d43123f230142b2f918cacc899503.mp3,Basel,Zur Rede setzte hingegen Dominique Biedermann an., Dominik Biedermann setzt hingegen an.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/ee59ddd363a3e3ce1519c328ffe924f831b8c85d1db25b4ad08e61acdc7aee98.mp3,Basel,Es braucht viel mehr Lehrer als geplant., Er braucht viel mehr Lehre als geplant.
878160b0-c4b0-4602-905a-329fc8080cb9/79d9955dafc080ac4873ab676b464791113b1de1badfd30897b34241bb2d17c0.mp3,Basel,Auch wenn sie kein eigenes Kapital investiert haben., Auch wenn sie kein eigenes Kapital investiert haben.
fd72db57-c291-43e6-840e-92e06f83ae56/e20cd0ff8ff111ecd84729820549c628238ade80a86ed62e0cdbcf7ca5b5d72a.mp3,Basel,Die Entscheidung dürfte zwischen den beiden alten Rivalen fallen., Die Entscheidung dürfte zwischen der beiden alten Rivalen fallen.
878160b0-c4b0-4602-905a-329fc8080cb9/2ee397b6b11e2603590dbdef5f208b2d2bfdad9c38ac539fa8ffa2810986a23e.mp3,Basel,Es werden massive Schäden an den beiden westlichen Stollen befürchtet., Es werden massive Schäden an den beiden westlichen Stollen befürchtet.
072abc71-8626-48e0-a1ad-c0f95befeac4/c4882f6676d7bdbde31a88afcec5db162ccab2fed5a1c23d984076ec3115cf2f.mp3,Basel,Beide Bibliotheken bieten den Frühlingsspass an., Bei die Bibliothek abbietet der Fröhlichpass auch.
8f16829d-1a64-4145-927c-d6738a07ea24/e61779ae1c8f24ed49bf88554c1c45258e28792df591bc472cf3fad9c9df5892.mp3,Basel,Sie hat die Zusammenarbeit für dieses Projekt mit den Gemeinden gesucht., Sie hat Zusammenarbeit für dieses Projekt mit der Gemeinde gesucht.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/292d7c33e914523f1cb7716eae77c9e16503edadcc27c387214233a73619336e.mp3,Basel,Obama hat Schulden von 10 Billionen US-Dollar auf 20 Billionen erhöht., Obama hat die Schulden von 10 Billionen US-Dollar auf 20 Billionen erhöht.
0392680c-2fda-4d1e-8d45-407c5fc01dac/474a7515eff1406c8f8c72b0ca7c3fa1edd3be1fe21d8b7f40e2278f7025341f.mp3,Basel,Diese Argumente genügen nicht allen., Diese Argumente genügen nicht allen.
fb1d2127-e914-470f-b684-57c697eacc1c/89268b7337c78269526a707c75253efa85c9a8b25bf12085260656fe50c7ba71.mp3,Basel,In Art., ein Artikel
8050767b-0a0e-43db-8754-2a42e896f7dd/b628f71502ef02cca8db45ab20bb0b768e9608d7088aac837ee3087f7491a96a.mp3,Basel,Hat der Entscheid etwas mit dieser Niederlage zu tun?, Hätte der Entscheid etwas mit der Renete-Log zu tun?
8050767b-0a0e-43db-8754-2a42e896f7dd/a91b3721cd6f57dbe095f69d8b0eaebfae4b5a2bca3998bff75d7306e75ecb79.mp3,Basel,Danach wechselte sie nach Italien., Danach hat sie nach Italien gewechselt.
0392680c-2fda-4d1e-8d45-407c5fc01dac/541f022cbaf1acc065aafa835453cf1ead9f04ac86dd915728efad04d56209cd.mp3,Basel,"Es trifft zu, dass die Familiengründung reine Privatsache ist."," Es trifft zu, dass diese Familiengründung reine Privatsache ist."
12fb73be-cf60-4794-befb-381682ccda9a/a8b24045725e5f1d4d836173ecb64871756878e9c141d06075159f97f76cd631.mp3,Basel,Und Winkelmann wählt den Konjunktiv mit Bedacht., und Winkelmau wählt den Konjunktiv mit Bedeutung.
fd72db57-c291-43e6-840e-92e06f83ae56/fe2dc9e3cb81ee1658959cde337886a9bcf5e6d3b7df2a95b9bb714aa72174da.mp3,Basel,So sei er zeitweise im Koma gelegen., So ist er zeitweise im Koma gelegen.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/3ad2f084eeb7141b443428c856f8834a5dfd7855a8bd91eb9b0a6ad6e3e934d7.mp3,Basel,Für die leerstehenden Ladenflächen wäre es wünschenswert., Für die leerstehende Ladefläche wäre es wünschenswert.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/b5441c59393d4393ff8ffa8bbacdd245c597051c2f7e348b60207709e57ce7f4.mp3,Basel,Bis Mittwochabend war der Schaden wieder behoben., Am Mittwochabend war der Schaden wieder behoben.
072abc71-8626-48e0-a1ad-c0f95befeac4/b90a4213aea620b0a95bc00d209349a5f07e44ac8eb5983629013c90f7c61d57.mp3,Basel,Heute muss man dafür zuerst durch ein Einkaufszentrum gehen., Heute muss man für das zuerst aber ich aufs Center gehen.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/910bc868bdd895e5d34bbd217ee73ebf0ce3c6e95fd13e69819375922a479d7d.mp3,Basel,Viele von ihnen sind ratlos., Viele sind von ihnen rotlos.
8050767b-0a0e-43db-8754-2a42e896f7dd/c87ff544e59858746d79e0a53c815af87bbe25f74294d005b01560d38b529db9.mp3,Basel,Das dürfte vor allem für Betroffene interessant sein., Das dürfte vor allem für Betroffene interessant sein.
8f16829d-1a64-4145-927c-d6738a07ea24/f346794b446742cf7f3f95d3eb469b878fbf5485ff6075b2e2d71eca99dbfe01.mp3,Basel,Aber in erster Linie ist er einsam., Aber in erster Linie ist es einsam.
fd72db57-c291-43e6-840e-92e06f83ae56/dc0edc0127e8c2ab71a2af031dc6d1d48f76a4e8cc251a6817a161d36e580e1c.mp3,Basel,Denn sie zerstört die Existenzen der Kleinbauern., Denn sie zerstören die Existenz von Kleiburen.
8050767b-0a0e-43db-8754-2a42e896f7dd/b57466e60bb6f777da2fa7200156827300df764576cccd7a83538dad4530392d.mp3,Basel,Mittlerweile spielt der charmante 22-Jährige fünf Instrumente., Mittlerweile spielt der charmante 22-jährige fünf Instrumente.
8800b4de-fa22-4fdc-9f29-457c4010fd57/bfc9fd3e1aaafa9cbb13b311dbcd1993834438d75fa4e1aa96a139b72c796dd8.mp3,Basel,Waffeln sind gut und ich liebe WURST!, Waffeln sind gut und ich liebe Wurst.
0392680c-2fda-4d1e-8d45-407c5fc01dac/5317deaeb9bf22306c75502b9599d0ffb55a97adadf5c582c717da2f2eec8cda.mp3,Basel,Statt auf einen Kasten setzt er auf eine Kugel., Statt auf einem Kasten setzt man auf einen Kugel.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/b192b17b5442c180fa6390edad579eddd3c715686d014c8158d94c683d9037b8.mp3,Basel,Wir werden sitzen bleiben., Wir werden sitzen bleiben.
12fb73be-cf60-4794-befb-381682ccda9a/c16161b1cd27f7528f9feee2b720e9d04ddc4250dd01ca8b770f8aeaa746b54a.mp3,Basel,Das Opfer verstarb trotz ärztlicher Hilfe noch auf der Unfallstelle., Das Opfer ist trotz ärztlicher Hilfe noch auf der Unfallstelle verstorben.
8050767b-0a0e-43db-8754-2a42e896f7dd/8f8c302f325a8cbb41ba03202b55cff6bde075336b456faca355d1ff0d797d98.mp3,Basel,Im Osten ist Show und Tanz sehr wichtig., Im Osten ist Show und Tanz sehr wichtig.
fd72db57-c291-43e6-840e-92e06f83ae56/eefb6a8d3583fe734c3bc5fc7d4baec27db071e3379724a4d0715fa7b6d92157.mp3,Basel,Seit 33 Jahren steht sie beim 3er-BMW für Erfolg., Seit 33 Jahren steht sie beim Dreier BMW für Erfolg.
fb1d2127-e914-470f-b684-57c697eacc1c/1e65bc1316280785b1083ec0f4a3383712fe7f94159671f1bcfd6341e7ce605d.mp3,Basel,Wir wurden sehr gut informiert und dokumentiert., Wir sind sehr gut informiert und dokumentiert worden.
fd72db57-c291-43e6-840e-92e06f83ae56/cb8f681bd2948912de12722ebd4971a3755cd3d4360311050d5363829ffa384d.mp3,Basel,Die Schweizer Handball-Nationalmannschaft steht doch noch in den WM-Playoffs., Die Schweizer Handballnationalmannschaft steht doch noch in den WM Playoffs.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/e453b9e2678de6bf944f302b23d45911f911246222e3b682d0afdee3d00b2a4c.mp3,Basel,Schwarz spielt für einmal eine eher untergeordnete Rolle., Schwarz spielt für einmal eine eher untergeordnete Rolle.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/68418be9cb56fb0c86c5b84e6f66daf5bffdf4fa0a7c5285c2a051dd20d09961.mp3,Basel,Es sind 5 Abmeldungen zu verzeichnen., Es sind fünf Abmeldungen zu verzeichnen.
fd72db57-c291-43e6-840e-92e06f83ae56/fffe57b8ab2d7b69f957aceeddabb6159474e5b8a4a5480d73a69206fb1c1422.mp3,Basel,Dem war und ist aber nicht so., Der war aber nicht so.
8800b4de-fa22-4fdc-9f29-457c4010fd57/b183965febca072270d4becb33618dfd4e9e2f22ceadbca57a9c8367e87a700d.mp3,Basel,Der versteckt sich immer hinter der jeweiligen Firma., Der versteckt sich immer hinter der jeweiligen Firma.
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/03b8c0f5109dd1af2ab2d438c1a29bd3d62d91474fcfdfeb36ed55d570486701.mp3,Basel,Die Verwaltung hat aufgrund von Personalvakanzen und nicht durchgeführter Arbeiten gespart., Die Verwaltung hat aufgrund des Personalwokals und nicht durchgeführter Arbeiten gespart.
12fb73be-cf60-4794-befb-381682ccda9a/f3b15d3d172148a7e4f7635b1fb196d0c769ff15cf7f4b07f258b0c590538825.mp3,Basel,Sie hatte sich nur abkühlen wollen.," Sie hätte es noch abgegeben, oder?"
8800b4de-fa22-4fdc-9f29-457c4010fd57/692121b155e997971f29e5f2b754b5c36d5da08e47dff8ed28340958351a8333.mp3,Basel,Die früheren Funde waren jeweils rechte Füsse gewesen., Die früheren Reformen waren jeweils ziemlich diffus.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/751f255b0c4882e63b1fd1fda0747100035d1c025ff52533aac7f6f45ae3b2f8.mp3,Basel,Mit der Auslieferung hat Subaru Schweiz schon begonnen., Mit der Auslieferung hat Subaru Schweiz schon angefangen.
0392680c-2fda-4d1e-8d45-407c5fc01dac/549763c39901415af7ec263f4cc9d83cbe8c48fecc0451677709fbf8cd312af9.mp3,Basel,Das war nochmals extrem wichtig., Das war extrem wichtig.
8050767b-0a0e-43db-8754-2a42e896f7dd/ae7073744cc547d1043e6ef81f8e7b320b88cb112675ebaac0a3c9e4ad148c3f.mp3,Basel,"Es gibt Funktionen, die nicht überall zu finden sind."," Es gibt Funktionen, die nicht überall zu finden sind."
8050767b-0a0e-43db-8754-2a42e896f7dd/a8ab6241666868089907b29fbe0059d9d8beb7283757dd535f939d1ccc8b9d44.mp3,Basel,Zudem bauen die Techniker einen neuen Akku ein., Zudem baut Technico einen neuen Akku ein.
fb1d2127-e914-470f-b684-57c697eacc1c/6031815ab90e60aa5aa0e8d8c10602daeb3d3f69c6ef45231726fe9ca467e7bc.mp3,Basel,Ein Gast vergass gleich seine Katze und seinen Hund im Zimmer., Ein Gast hat gerade seine Katze und seinen Hund im Zimmer vergessen.
0392680c-2fda-4d1e-8d45-407c5fc01dac/2727243919a8f1a14dc1cbd0fa4032e2c39aa30741390d778a4f4fc58eca3126.mp3,Basel,Die Lage ist richtig., Diese Lage ist richtig.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/6c76daf2f0791ab22b0968eea8b6b92b404a300a6c59d2cd0135f9fba94b8bec.mp3,Basel,Der Stadtrat lässt in seine Überlegungen stets eine Gesamtbetrachtung einfliessen., Der Ständerat lässt in seine Überlegungen stets eine Gesamtbetrachtung einfliessen.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/218529e7b9e52f5a9a91c52049c57ef812638e029305e00b77c6cd2992f30f62.mp3,Basel,Das sind für den Gemeinderat die strategischen Positionen die wir getätigt haben.," Das waren für den Gemeinderat die strategischen Positionen, die wir gewählt haben."
9bfe16f5-33bb-4266-b1ac-40b0611c74da/ec59ddeef8ad12170324d74edac5ceeb61cba698a77d194e3a381c39a4a61264.mp3,Basel,Dafür bekommt man aber auch einiges geboten., Dorthilfe bekommt mir aber auch einiges von dir.
8050767b-0a0e-43db-8754-2a42e896f7dd/ad7f9d75f5c11c57d6b08bf55583db8dd86ad2431ce4a85195c78ae16c06ace4.mp3,Basel,Aktuelle Studien über den Schweizer Markt gibt es nicht., Aktuelle Studien über den Schweizer Markt gibt es nicht.
9bfe16f5-33bb-4266-b1ac-40b0611c74da/fa2f36e1cac42d65da5fa9fb35ec32596ddbbe893b71d0504be7eb764c9032be.mp3,Basel,Alles wirkt offiziell und korrekt., Alles wird offiziell unkorrekt.
fb1d2127-e914-470f-b684-57c697eacc1c/788ab834e491ababd83c0ed45a8b4c1c2525a2433f180a50c8320172cdf3e955.mp3,Basel,Weil er Bürger der neutralen Schweiz war., weil er Bürger der neutralen Schweiz war.
